X,Wynik_przyblizony,Blad_wzgledny
1.380384265e-28,1,0
1.412537545e-28,1,0
1.445439771e-28,1,0
1.479108388e-28,1,0
1.513561248e-28,1,0
1.548816619e-28,1,0
1.584893192e-28,1,0
1.621810097e-28,1,0
1.659586907e-28,1,0
1.698243652e-28,1,0
1.737800829e-28,1,0
1.77827941e-28,1,0
1.819700859e-28,1,0
1.862087137e-28,1,0
1.905460718e-28,1,0
1.9498446e-28,1,0
1.995262315e-28,1,0
2.041737945e-28,1,0
2.089296131e-28,1,0
2.13796209e-28,1,0
2.187761624e-28,1,0
2.238721139e-28,1,0
2.290867653e-28,1,0
2.344228815e-28,1,0
2.398832919e-28,1,0
2.454708916e-28,1,0
2.511886432e-28,1,0
2.570395783e-28,1,0
2.630267992e-28,1,0
2.691534804e-28,1,0
2.754228703e-28,1,0
2.818382931e-28,1,0
2.884031503e-28,1,0
2.951209227e-28,1,0
3.01995172e-28,1,0
3.090295433e-28,1,0
3.16227766e-28,1,0
3.235936569e-28,1,0
3.311311215e-28,1,0
3.388441561e-28,1,0
3.467368505e-28,1,0
3.548133892e-28,1,0
3.630780548e-28,1,0
3.715352291e-28,1,0
3.801893963e-28,1,0
3.89045145e-28,1,0
3.981071706e-28,1,0
4.073802778e-28,1,0
4.168693835e-28,1,0
4.265795188e-28,1,0
4.365158322e-28,1,0
4.466835922e-28,1,0
4.570881896e-28,1,0
4.677351413e-28,1,0
4.786300923e-28,1,0
4.897788194e-28,1,0
5.011872336e-28,1,0
5.12861384e-28,1,0
5.248074602e-28,1,0
5.370317964e-28,1,0
5.495408739e-28,1,0
5.623413252e-28,1,0
5.754399373e-28,1,0
5.888436554e-28,1,0
6.025595861e-28,1,0
6.165950019e-28,1,0
6.309573445e-28,1,0
6.45654229e-28,1,0
6.60693448e-28,1,0
6.760829754e-28,1,0
6.918309709e-28,1,0
7.079457844e-28,1,0
7.244359601e-28,1,0
7.413102413e-28,1,0
7.58577575e-28,1,0
7.762471166e-28,1,0
7.943282347e-28,1,0
8.128305162e-28,1,0
8.317637711e-28,1,0
8.511380382e-28,1,0
8.7096359e-28,1,0
8.912509381e-28,1,0
9.120108394e-28,1,0
9.332543008e-28,1,0
9.54992586e-28,1,0
9.77237221e-28,1,0
1e-27,1,0
1.023292992e-27,1,0
1.047128548e-27,1,0
1.071519305e-27,1,0
1.096478196e-27,1,0
1.122018454e-27,1,0
1.148153621e-27,1,0
1.174897555e-27,1,0
1.202264435e-27,1,0
1.230268771e-27,1,0
1.258925412e-27,1,0
1.288249552e-27,1,0
1.318256739e-27,1,0
1.348962883e-27,1,0
1.380384265e-27,1,0
1.412537545e-27,1,0
1.445439771e-27,1,0
1.479108388e-27,1,0
1.513561248e-27,1,0
1.548816619e-27,1,0
1.584893192e-27,1,0
1.621810097e-27,1,0
1.659586907e-27,1,0
1.698243652e-27,1,0
1.737800829e-27,1,0
1.77827941e-27,1,0
1.819700859e-27,1,0
1.862087137e-27,1,0
1.905460718e-27,1,0
1.9498446e-27,1,0
1.995262315e-27,1,0
2.041737945e-27,1,0
2.089296131e-27,1,0
2.13796209e-27,1,0
2.187761624e-27,1,0
2.238721139e-27,1,0
2.290867653e-27,1,0
2.344228815e-27,1,0
2.398832919e-27,1,0
2.454708916e-27,1,0
2.511886432e-27,1,0
2.570395783e-27,1,0
2.630267992e-27,1,0
2.691534804e-27,1,0
2.754228703e-27,1,0
2.818382931e-27,1,0
2.884031503e-27,1,0
2.951209227e-27,1,0
3.01995172e-27,1,0
3.090295433e-27,1,0
3.16227766e-27,1,0
3.235936569e-27,1,0
3.311311215e-27,1,0
3.388441561e-27,1,0
3.467368505e-27,1,0
3.548133892e-27,1,0
3.630780548e-27,1,0
3.715352291e-27,1,0
3.801893963e-27,1,0
3.89045145e-27,1,0
3.981071706e-27,1,0
4.073802778e-27,1,0
4.168693835e-27,1,0
4.265795188e-27,1,0
4.365158322e-27,1,0
4.466835922e-27,1,0
4.570881896e-27,1,0
4.677351413e-27,1,0
4.786300923e-27,1,0
4.897788194e-27,1,0
5.011872336e-27,1,0
5.12861384e-27,1,0
5.248074602e-27,1,0
5.370317964e-27,1,0
5.495408739e-27,1,0
5.623413252e-27,1,0
5.754399373e-27,1,0
5.888436554e-27,1,0
6.025595861e-27,1,0
6.165950019e-27,1,0
6.309573445e-27,1,0
6.45654229e-27,1,0
6.60693448e-27,1,0
6.760829754e-27,1,0
6.918309709e-27,1,0
7.079457844e-27,1,0
7.244359601e-27,1,0
7.413102413e-27,1,0
7.58577575e-27,1,0
7.762471166e-27,1,0
7.943282347e-27,1,0
8.128305162e-27,1,0
8.317637711e-27,1,0
8.511380382e-27,1,0
8.7096359e-27,1,0
8.912509381e-27,1,0
9.120108394e-27,1,0
9.332543008e-27,1,0
9.54992586e-27,1,0
9.77237221e-27,1,0
1e-26,1,0
1.023292992e-26,1,0
1.047128548e-26,1,0
1.071519305e-26,1,0
1.096478196e-26,1,0
1.122018454e-26,1,0
1.148153621e-26,1,0
1.174897555e-26,1,0
1.202264435e-26,1,0
1.230268771e-26,1,0
1.258925412e-26,1,0
1.288249552e-26,1,0
1.318256739e-26,1,0
1.348962883e-26,1,0
1.380384265e-26,1,0
1.412537545e-26,1,0
1.445439771e-26,1,0
1.479108388e-26,1,0
1.513561248e-26,1,0
1.548816619e-26,1,0
1.584893192e-26,1,0
1.621810097e-26,1,0
1.659586907e-26,1,0
1.698243652e-26,1,0
1.737800829e-26,1,0
1.77827941e-26,1,0
1.819700859e-26,1,0
1.862087137e-26,1,0
1.905460718e-26,1,0
1.9498446e-26,1,0
1.995262315e-26,1,0
2.041737945e-26,1,0
2.089296131e-26,1,0
2.13796209e-26,1,0
2.187761624e-26,1,0
2.238721139e-26,1,0
2.290867653e-26,1,0
2.344228815e-26,1,0
2.398832919e-26,1,0
2.454708916e-26,1,0
2.511886432e-26,1,0
2.570395783e-26,1,0
2.630267992e-26,1,0
2.691534804e-26,1,0
2.754228703e-26,1,0
2.818382931e-26,1,0
2.884031503e-26,1,0
2.951209227e-26,1,0
3.01995172e-26,1,0
3.090295433e-26,1,0
3.16227766e-26,1,0
3.235936569e-26,1,0
3.311311215e-26,1,0
3.388441561e-26,1,0
3.467368505e-26,1,0
3.548133892e-26,1,0
3.630780548e-26,1,0
3.715352291e-26,1,0
3.801893963e-26,1,0
3.89045145e-26,1,0
3.981071706e-26,1,0
4.073802778e-26,1,0
4.168693835e-26,1,0
4.265795188e-26,1,0
4.365158322e-26,1,0
4.466835922e-26,1,0
4.570881896e-26,1,0
4.677351413e-26,1,0
4.786300923e-26,1,0
4.897788194e-26,1,0
5.011872336e-26,1,0
5.12861384e-26,1,0
5.248074602e-26,1,0
5.370317964e-26,1,0
5.495408739e-26,1,0
5.623413252e-26,1,0
5.754399373e-26,1,0
5.888436554e-26,1,0
6.025595861e-26,1,0
6.165950019e-26,1,0
6.309573445e-26,1,0
6.45654229e-26,1,0
6.60693448e-26,1,0
6.760829754e-26,1,0
6.918309709e-26,1,0
7.079457844e-26,1,0
7.244359601e-26,1,0
7.413102413e-26,1,0
7.58577575e-26,1,0
7.762471166e-26,1,0
7.943282347e-26,1,0
8.128305162e-26,1,0
8.317637711e-26,1,0
8.511380382e-26,1,0
8.7096359e-26,1,0
8.912509381e-26,1,0
9.120108394e-26,1,0
9.332543008e-26,1,0
9.54992586e-26,1,0
9.77237221e-26,1,0
1e-25,1,0
1.023292992e-25,1,0
1.047128548e-25,1,0
1.071519305e-25,1,0
1.096478196e-25,1,0
1.122018454e-25,1,0
1.148153621e-25,1,0
1.174897555e-25,1,0
1.202264435e-25,1,0
1.230268771e-25,1,0
1.258925412e-25,1,0
1.288249552e-25,1,0
1.318256739e-25,1,0
1.348962883e-25,1,0
1.380384265e-25,1,0
1.412537545e-25,1,0
1.445439771e-25,1,0
1.479108388e-25,1,0
1.513561248e-25,1,0
1.548816619e-25,1,0
1.584893192e-25,1,0
1.621810097e-25,1,0
1.659586907e-25,1,0
1.698243652e-25,1,0
1.737800829e-25,1,0
1.77827941e-25,1,0
1.819700859e-25,1,0
1.862087137e-25,1,0
1.905460718e-25,1,0
1.9498446e-25,1,0
1.995262315e-25,1,0
2.041737945e-25,1,0
2.089296131e-25,1,0
2.13796209e-25,1,0
2.187761624e-25,1,0
2.238721139e-25,1,0
2.290867653e-25,1,0
2.344228815e-25,1,0
2.398832919e-25,1,0
2.454708916e-25,1,0
2.511886432e-25,1,0
2.570395783e-25,1,0
2.630267992e-25,1,0
2.691534804e-25,1,0
2.754228703e-25,1,0
2.818382931e-25,1,0
2.884031503e-25,1,0
2.951209227e-25,1,0
3.01995172e-25,1,0
3.090295433e-25,1,0
3.16227766e-25,1,0
3.235936569e-25,1,0
3.311311215e-25,1,0
3.388441561e-25,1,0
3.467368505e-25,1,0
3.548133892e-25,1,0
3.630780548e-25,1,0
3.715352291e-25,1,0
3.801893963e-25,1,0
3.89045145e-25,1,0
3.981071706e-25,1,0
4.073802778e-25,1,0
4.168693835e-25,1,0
4.265795188e-25,1,0
4.365158322e-25,1,0
4.466835922e-25,1,0
4.570881896e-25,1,0
4.677351413e-25,1,0
4.786300923e-25,1,0
4.897788194e-25,1,0
5.011872336e-25,1,0
5.12861384e-25,1,0
5.248074602e-25,1,0
5.370317964e-25,1,0
5.495408739e-25,1,0
5.623413252e-25,1,0
5.754399373e-25,1,0
5.888436554e-25,1,0
6.025595861e-25,1,0
6.165950019e-25,1,0
6.309573445e-25,1,0
6.45654229e-25,1,0
6.60693448e-25,1,0
6.760829754e-25,1,0
6.918309709e-25,1,0
7.079457844e-25,1,0
7.244359601e-25,1,0
7.413102413e-25,1,0
